handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_e7fc8cc1-2508-5596-5b0e-950a66cee9da,Product,Modern 2025,"<p>Aquebogue, New York, close to where I grew up, home to the Modern Snack Bar since 1950. I shot its iconic mid-century sign standing in the middle of Main Road, dressed in black—possibly not the best attire given the speeding October traffic.</p>",b805ce_fb07e7fab45a4f2183d7f17fd08895c6~mv2.png,Cityscapes,,,200.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,"12"" X 18"";16"" X 24"";24"" X 36"";30"" X 45"";40"" X 60"";48"" X 72""",,,,,,,,,,,,,,,,Ordering,"<p>This image is printed on ChromaLuxe gloss white aluminum. Fabrication and shipping takes 10-14 days. Shipping is included.</p>
",,,,,,,,,,,,,,,,,
product_e7fc8cc1-2508-5596-5b0e-950a66cee9da,Variant,,,,,,,,,true,,,InStock,0.9,77.0,,,"12"" X 18""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e7fc8cc1-2508-5596-5b0e-950a66cee9da,Variant,,,,,,,,460.0,true,,,InStock,3.8,299.0,,,"24"" X 36""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e7fc8cc1-2508-5596-5b0e-950a66cee9da,Variant,,,,,,,,1650.0,true,,,InStock,10.5,840.0,,,"40"" X 60""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e7fc8cc1-2508-5596-5b0e-950a66cee9da,Variant,,,,,,,,2500.0,true,,,InStock,15.1,1171.0,,,"48"" X 72""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e7fc8cc1-2508-5596-5b0e-950a66cee9da,Variant,,,,,,,,950.0,true,,,InStock,5.9,490.0,,,"30"" X 45""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e7fc8cc1-2508-5596-5b0e-950a66cee9da,Variant,,,,,,,,150.0,true,,,InStock,1.6,162.0,,,"16"" X 24""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_53ed2433-71d2-23cb-6adc-5f5819248b01,Product,Merry 2011,"<p>I have no idea why this happened -&nbsp; a solo chimney, house long gone, still decorated for the holidays, on the road up to Yosemite National Park in December.</p>",b805ce_1971a014023a4f14a5019c476d99fc6e~mv2.jpg,Landscapes,,Holiday Favorite!,125.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,"9"" X 12"";15"" X 20"";18"" X 24"";27"" X 36"";36"" X 48""",,,,,,,,,,,,,,,,Ordering,"<p>This image is printed on ChromaLuxe gloss white aluminum. Fabrication and shipping takes 10-14 days. Shipping is included.</p>
",,,,,,,,,,,,,,,,,
product_53ed2433-71d2-23cb-6adc-5f5819248b01,Variant,,,,,,,,655.0,true,,,InStock,4.3,,,,"27"" X 36""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_53ed2433-71d2-23cb-6adc-5f5819248b01,Variant,,,,,,,,245.0,true,,,InStock,1.9,,,,"18"" X 24""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
